Issue Type,Issue Key,Summary,Epic Name,Epic Link,Priority,Story Points,Sprint,Labels,Description,Acceptance Criteria
Epic,NLF-EP01,Fundacao de Plataforma e DevOps,Fundacao de Plataforma e DevOps,,Highest,,,"platform,devops","Base de repositorios, CI/CD, infraestrutura local e observabilidade.",""
Story,NLF-101,Setup de repositorios e CI,,NLF-EP01,Highest,5,1,"platform,devops","Configurar padrao de codigo, pipeline de build e testes.","Given novo clone When pipeline roda Then build e testes concluem com sucesso"
Story,NLF-102,Ambiente local com Docker Compose,,NLF-EP01,Highest,8,1,"platform,infra","Subir PostgreSQL Redis RabbitMQ MinIO e API em ambiente local.","Given ambiente limpo When docker compose up Then servicos sobem saudaveis"
Story,NLF-103,Observabilidade basica,,NLF-EP01,High,3,1,"observability","Implantar logs estruturados e health checks.","Given endpoint health When consultado Then status por dependencia e retornado"
Epic,NLF-EP02,Identidade e Preferencias,Identidade e Preferencias,,Highest,,,"auth,profile","Cadastro login recuperacao e personalizacao.",""
Story,NLF-201,Cadastro e login com JWT,,NLF-EP02,Highest,8,2,"auth,mvp","Implementar autenticacao com access e refresh token.","Given credenciais validas When login Then tokens sao emitidos"
Story,NLF-202,Recuperacao de senha,,NLF-EP02,High,5,2,"auth","Fluxo de reset por e-mail com token temporario.","Given email cadastrado When solicitar reset Then token temporario e enviado"
Story,NLF-203,Perfil e preferencias neurodivergentes,,NLF-EP02,Highest,5,2,"profile,tdah-friendly,autism-friendly,mvp","Salvar canais e intensidade de lembretes por usuario.","Given preferencias salvas When reabrir app Then configuracao e carregada"
Epic,NLF-EP03,Agenda e Calendario,Agenda e Calendario,,Highest,,,"agenda","Gestao de compromissos e recorrencias.",""
Story,NLF-301,CRUD de eventos,,NLF-EP03,Highest,8,3,"agenda,mvp","Criar editar excluir e listar eventos.","Given evento criado When abrir timeline Then evento e exibido"
Story,NLF-302,Recorrencia de eventos,,NLF-EP03,High,5,3,"agenda,recurrence","Suportar eventos diarios semanais mensais.","Given evento recorrente When abrir calendario Then ocorrencias aparecem"
Story,NLF-303,Telas calendario no Flutter,,NLF-EP03,High,8,3,"mobile,agenda,mvp","Implementar visao diaria semanal mensal.","Given eventos cadastrados When alternar visualizacao Then dados permanecem consistentes"
Epic,NLF-EP04,Tarefas e Checklist,Tarefas e Checklist,,Highest,,,"tasks,checklist","Gestao de tarefas e subtarefas.",""
Story,NLF-401,CRUD de tarefas,,NLF-EP04,Highest,8,4,"tasks,mvp","Criar editar priorizar e categorizar tarefas.","Given tarefa criada When listar dia Then ordenacao por prioridade e prazo"
Story,NLF-402,Checklist manual,,NLF-EP04,Highest,5,4,"tasks,checklist,mvp","Adicionar subtarefas e progresso.","Given subtarefa concluida When salvar Then progresso da tarefa principal atualiza"
Story,NLF-403,Dependencias entre tarefas,,NLF-EP04,Medium,3,4,"tasks","Relacionar predecessoras e bloqueios.","Given dependencia ativa When tarefa anterior nao concluida Then bloqueio e sinalizado"
Epic,NLF-EP05,Notificacoes Anti-Esquecimento,Notificacoes Anti-Esquecimento,,Highest,,,"notifications","Lembretes multi-canal e escalonamento.",""
Story,NLF-501,Scheduler de lembretes,,NLF-EP05,Highest,8,5,"notifications,mvp","Agendar lembretes por prioridade da tarefa.","Given tarefa alta prioridade When criada Then lembretes 2d 1d 6h 1h 15min"
Story,NLF-502,Push notifications,,NLF-EP05,Highest,5,5,"notifications,mobile,mvp","Entregar avisos via push.","Given lembrete agendado When horario chegar Then push e entregue"
Story,NLF-503,Notificacoes por email,,NLF-EP05,High,3,5,"notifications,mvp","Entregar avisos por e-mail.","Given canal email ativo When lembrete dispara Then email e enviado"
Story,NLF-504,Integracao WhatsApp para lembretes,,NLF-EP05,Highest,8,14,"notifications,whatsapp,mvp","Enviar avisos via WhatsApp com consentimento.","Given consentimento ativo When lembrete critico dispara Then mensagem WhatsApp e enviada"
Epic,NLF-EP06,Gamificacao,Gamificacao,,High,,,"gamification","XP niveis streaks e conquistas.",""
Story,NLF-601,Motor de XP e niveis,,NLF-EP06,High,5,6,"gamification,mvp","Pontuar tarefas eventos e pausas.","Given tarefa concluida When evento processado Then XP e atualizado"
Story,NLF-602,Streaks diarios,,NLF-EP06,High,3,6,"gamification","Calcular sequencias de rotina.","Given rotina diaria concluida When dia fecha Then streak incrementa"
Story,NLF-603,Conquistas por marcos,,NLF-EP06,Medium,3,6,"gamification","Desbloquear badges por objetivos.","Given marco atingido When regras aplicam Then badge e liberado"
Epic,NLF-EP07,Assistente de Voz,Assistente de Voz,,Highest,,,"voice,ai","Captura por audio e interpretacao.",""
Story,NLF-701,Captura de audio no app,,NLF-EP07,Highest,5,8,"voice,mobile,mvp","Gravar e enviar audio.","Given permissao concedida When gravar Then audio e enviado"
Story,NLF-702,Transcricao com Whisper,,NLF-EP07,Highest,8,8,"voice,ai,mvp","Converter audio em texto.","Given audio legivel When processar Then texto e retornado"
Story,NLF-703,Extracao de intencao,,NLF-EP07,Highest,8,8,"voice,ai,nlp,mvp","Mapear fala para tarefa evento ou conta.","Given frase pagar internet dia 10 When interpretar Then item financeiro e criado"
Epic,NLF-EP08,Financeiro,Financeiro,,Highest,,,"finance","Contas gastos receitas e alertas.",""
Story,NLF-801,Contas a pagar recorrentes,,NLF-EP08,Highest,8,9,"finance,mvp","Cadastrar contas e recorrencia.","Given conta mensal When virar mes Then novo vencimento e criado"
Story,NLF-802,Registro de gastos e receitas,,NLF-EP08,Highest,5,9,"finance,mvp","Lancamentos por categoria.","Given transacao salva When consultar Then saldo e categorias atualizam"
Story,NLF-803,Dashboard financeiro,,NLF-EP08,High,5,9,"finance,mobile,mvp","Visual de gastos e pendencias.","Given dados do mes When abrir dashboard Then resumo financeiro aparece"
Story,NLF-804,Alertas de vencimento,,NLF-EP08,Highest,3,9,"finance,notifications,mvp","Lembretes para contas proximas do vencimento.","Given conta proxima do vencimento When regra executar Then usuario recebe alerta"
